Id,IndicatorCode,SpatialDimType,CountryCode,TimeDimType,Year,Dim1Type,Sex,LifeExpectancy
877,WHOSIS_000001,COUNTRY,SOM,YEAR,2008,SEX,SEX_MLE,48.0
1071,WHOSIS_000001,COUNTRY,BTN,YEAR,2002,SEX,SEX_BTSX,67.8
3601,WHOSIS_000001,COUNTRY,BHR,YEAR,2011,SEX,SEX_FMLE,75.2
6920,WHOSIS_000001,COUNTRY,SAU,YEAR,2005,SEX,SEX_FMLE,73.1
7170,WHOSIS_000001,COUNTRY,CYP,YEAR,2003,SEX,SEX_MLE,76.9
7488,WHOSIS_000001,COUNTRY,DNK,YEAR,2014,SEX,SEX_MLE,78.6
8803,WHOSIS_000001,COUNTRY,PHL,YEAR,2007,SEX,SEX_BTSX,69.6
9338,WHOSIS_000001,COUNTRY,MAR,YEAR,2020,SEX,SEX_FMLE,73.9
10302,WHOSIS_000001,COUNTRY,WSM,YEAR,2004,SEX,SEX_FMLE,72.1
11672,WHOSIS_000001,COUNTRY,JOR,YEAR,2014,SEX,SEX_MLE,78.4
13053,WHOSIS_000001,COUNTRY,URY,YEAR,2015,SEX,SEX_BTSX,77.1
13056,WHOSIS_000001,COUNTRY,DNK,YEAR,2020,SEX,SEX_FMLE,83.2
13099,WHOSIS_000001,COUNTRY,PRI,YEAR,2020,SEX,SEX_MLE,76.1
14225,WHOSIS_000001,COUNTRY,GHA,YEAR,2005,SEX,SEX_MLE,58.3
15085,WHOSIS_000001,COUNTRY,TON,YEAR,2019,SEX,SEX_BTSX,72.9
16712,WHOSIS_000001,COUNTRY,JOR,YEAR,2009,SEX,SEX_FMLE,76.6
16918,WHOSIS_000001,COUNTRY,TUR,YEAR,2012,SEX,SEX_MLE,73.8
17817,WHOSIS_000001,COUNTRY,BRA,YEAR,2003,SEX,SEX_BTSX,72.3
17918,WHOSIS_000001,COUNTRY,FJI,YEAR,2006,SEX,SEX_BTSX,67.1
18797,WHOSIS_000001,COUNTRY,NIC,YEAR,2020,SEX,SEX_MLE,71.7
19784,WHOSIS_000001,COUNTRY,IRQ,YEAR,2003,SEX,SEX_MLE,65.7
21004,WHOSIS_000001,COUNTRY,BGD,YEAR,2017,SEX,SEX_MLE,72.1
21183,WHOSIS_000001,COUNTRY,TON,YEAR,2016,SEX,SEX_BTSX,72.6
21220,WHOSIS_000001,COUNTRY,SWE,YEAR,2016,SEX,SEX_MLE,80.4
22123,WHOSIS_000001,GLOBAL,GLOBAL,YEAR,2015,SEX,SEX_BTSX,72.2
23097,WHOSIS_000001,COUNTRY,AUS,YEAR,2006,SEX,SEX_BTSX,81.0
