Number,Type,Title,Chamber,Congress,LatestActionDate,LatestAction,UpdateDate,UpdateYear,UpdateMonth
1,SRES,A resolution establishing a Committee to Inform the President of the United States that a quorum of each House is assembled.,Senate,118,2023-01-03,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S6; text: CR S6)",2024-04-17,2024,4
3,SRES,"A resolution to elect Patty Murray, a Senator from the State of Washington, to be President pro tempore of the Senate of the United States.",Senate,118,2023-01-03,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S6; text: CR S6)",2024-04-17,2024,4
4,SRES,A resolution notifying the President of the United States of the election of a President pro tempore.,Senate,118,2023-01-03,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S6; text: CR S6)",2025-05-27,2025,5
6,SRES,A resolution fixing the hour of daily meeting of the Senate.,Senate,118,2023-01-03,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S7; text: CR S7)",2024-04-17,2024,4
2,SRES,A resolution informing the House of Representatives that a quorum of the Senate is assembled.,Senate,118,2023-01-03,Message on Senate action sent to the House.,2024-04-17,2024,4
8,SRES,A resolution to make effective appointment of Senate Legal Counsel.,Senate,118,2023-01-03,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S7; text: CR S7)",2024-04-17,2024,4
9,SRES,A resolution to make effective appointment of Deputy Senate Legal Counsel.,Senate,118,2023-01-03,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S7; text: CR S7)",2024-04-17,2024,4
5,SRES,A resolution notifying the House of Representatives of the election of a President pro tempore.,Senate,118,2023-01-03,Message on Senate action sent to the House.,2024-04-17,2024,4
7,SRES,A resolution fixing the hour of daily meeting of the Senate.,Senate,118,2023-01-03,"Submitted in the Senate. Placed on Senate Legislative Calendar under Over, Under the Rule. (text: CR S20)",2024-04-17,2024,4
8,HJRES,Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.,House,118,2023-01-09,Referred to the House Committee on the Judiciary.,2025-12-05,2025,12
27,HR,Prosecutors Need to Prosecute Act,House,118,2023-01-09,Referred to the House Committee on the Judiciary.,2025-05-27,2025,5
49,HR,REVIEW Act of 2023,House,118,2023-01-09,Referred to the House Committee on the Judiciary.,2025-12-05,2025,12
53,HR,FIND Act,House,118,2023-01-09,Referred to the House Committee on Oversight and Accountability.,2025-12-05,2025,12
208,HR,Pet Safety and Protection Act of 2023,House,118,2023-01-09,Referred to the House Committee on Agriculture.,2025-05-27,2025,5
