Key,ScientificName,Country,Year,BasisOfRecord
5938104699,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
5938252120,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
5938302574,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
5938306747,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
5938326058,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
5938341495,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
5938346854,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
5938378320,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
5938557641,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
5938580667,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
5938581416,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6129864876,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6129907517,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6129919685,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6129950835,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6129999801,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6130007191,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6130028443,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6130109677,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6130121570,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130125990,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6130126486,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6130151433,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6130177679,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6130185390,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6130242005,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130244110,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6130263247,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6130282735,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130308555,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6130358070,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130361747,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130441641,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6130449965,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130506205,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6130519171,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130625909,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130647434,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6130654562,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130696803,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6130700284,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
