"NCTId","Title","Status","Sponsor","Conditions"
"NCT04195477","vDPP Facilitated With Community Care Coordination","COMPLETED","Yale University","Diabetes Prevention"
"NCT04041375","Veteran Support and Resources for Diabetes","COMPLETED","VA Office of Research and Development","Diabetes"
"NCT05988957","Nutrition-Focused Approach During CGM Initiation: A Qualitative Study","COMPLETED","HealthPartners Institute","Type 2 Diabetes"
"NCT03847701","Cardio-metabolic and Inflammatory Impact of Starch Digestibility in Type 2 Diabetic Patients","COMPLETED","Mondelēz International, Inc.","Type2 Diabetes"
"NCT00918801","Pilot Study of Hippocampal Function in Type 1 Diabetes Mellitus (T1DM)","COMPLETED","Washington University School of Medicine","Type 1 Diabetes Mellitus"
"NCT03296436","A Pilot Study to Assess the Efficacy of NEOX® CORD 1K® in the Treatment of Complex Diabetic Wounds","WITHDRAWN","Johns Hopkins University","Vascular Ulcer (Arterial or Venous Including Diabetic Ulcers Not Located on the Foot), Diabetic Foot Ulcer, Diabetic Foot, Diabetic Foot Infection, Diabetic Foot Ulcer Mixed"
"NCT01088711","Evaluation of Omarigliptin (MK-3102) in Obese Participants and in Participants With Type 2 Diabetes (MK-3102-004)","COMPLETED","Merck Sharp & Dohme LLC","Type 2 Diabetes (T2D)"
"NCT05104944","Defining Outcome Measures for Acute Charcot Neuroarthropathy in Diabetes and Their Use in Assessing Clinical Management","COMPLETED","Norfolk and Norwich University Hospitals NHS Foundation Trust","Diabetes"
"NCT02968628","Effect of Maternal Diabetes on Brain Development, as Measured by Neonatal Electroencephalogram (EEG)","COMPLETED","University of Rochester","Diabetes in Pregnancy, Diabetes, Gestational, Infant, Newborn, Diseases, Perinatal Disorders of Growth and Development"
"NCT02500628","Heart Rate Variability in Response to Metformin Challenge","COMPLETED","Woodinville Psychiatric Associates","Fibromyalgia, Mitochondrial Diseases, Movement Disorders, Diabetes Mellitus, Type 2"
"NCT03246828","Glucagon in MODY (Maturity Onset Diabetes of the Young)","COMPLETED","University of Oxford","MODY1, MODY3"
"NCT00225628","Improving Quality With Outpatient Decision Support","COMPLETED","Agency for Healthcare Research and Quality (AHRQ)","Diabetes Mellitus, Coronary Artery Disease, Osteoporosis, Hypertension, Hyperlipidemia"
"NCT05397028","Weight Management for the Remission of Type 2 Diabetes Using a Proprietary Meal Replacement System- Diabetes Remission Study (DRS)","TERMINATED","Loma Linda University","Obesity, Diabetes Mellitus, Type 2"
"NCT02011100","Effect of Carnosine on Diabetes and Cardiovascular Risk Factors","COMPLETED","Jozef Ukropec","Metabolic Diseases, Type 2 Diabetes, Cardiovascular Disease"
"NCT03244800","A Study to Investigate Different Doses of 0382 in Overweight and Obese Subjects With Type 2 Diabetes Mellitus.","COMPLETED","MedImmune LLC","Type 2 Diabetes Mellitus"
"NCT02328911","Laser Therapy for Diabetic Peripheral Neuropathic Pain","WITHDRAWN","University of Miami","Diabetic Peripheral Neuropathy"
"NCT05538819","The Effects of Glimepiride in Patients With Type 2 Diabetes and Chronic Heart Failure","COMPLETED","Dao Wen Wang","Chronic Heart Failure, Type 2 Diabetes, Cardiovascular Mortality, Cohort Study"
"NCT06386328","A Clinical Trial to Evaluate the Food Effect of CKD-378","COMPLETED","Chong Kun Dang Pharmaceutical","Type II Diabetes Mellitus"
"NCT05847400","Predictors of Chronic Kidney Disease Among Type 2 Diabetic Patients in Assiut University Hospitals","UNKNOWN","Assiut University","Type 2 Diabetes With Renal Manifestations"
"NCT05478707","Therapeutic Strategies for Microvascular Dysfunction in Type 1 Diabetes","SUSPENDED","University of Virginia","Diabetes Mellitus, Type 1, Endothelial Dysfunction"
"NCT06218992","Corneal and Tear Film Changes in Chinese Patients With Type 2 Diabetes","UNKNOWN","He Eye Hospital","Dry Eye Disease, Tear Film, Corneal Nerve"
"NCT06209411","Community Health Worker-Led Postpartum Diabetes Screening","RECRUITING","Weill Medical College of Cornell University","Diabetes Mellitus, Type 2, Gestational Diabetes"
"NCT00162344","A Study of Stress Heart Imaging in Patients With Diabetes at Risk for Coronary Disease.","COMPLETED","Lantheus Medical Imaging","Diabetes"
"NCT00819975","Differential Effects of Milk Proteins on Postprandial Lipemia in Response to a Fat-Rich Meal in Type 2 Diabetes","COMPLETED","Aarhus University Hospital","Postprandial Lipemia, Type 2 Diabetes"
"NCT00458081","Evaluation of the Rimonabant Impact on the Regression of Asymptomatic Damage Caused by Cardiovascular Risk Factors","TERMINATED","Sanofi","Obesity, Microalbuminuria, Diabetes Mellitus, Type 2, Dyslipidemia"
"NCT02906319","Vitamin D and HbA1c Levels in Diabetic Patients With CKD","COMPLETED","Ng Yong Muh","Vitamin D Deficiency, Diabetes Mellitus"
"NCT02791867","Comparison of Laboratory Changes, Food Intake and Metabolic Profile in Patients With Obesity and Type2 Diabetes Mellitus: Before, During and After Taking AphoelineBrake","TERMINATED","Dasman Diabetes Institute","Diabetes Mellitus, Type 2"
"NCT06447467","Short Term Outcome of Acute Heart Failure in Diabetic and Non Diabetic Patients","RECRUITING","Sohag University","Acute Heart Failure, Diabetes Mellitus"
"NCT00001344","Dextromethorphan Versus Placebo for Neuropathic Pain","COMPLETED","National Institute of Dental and Craniofacial Research (NIDCR)","Diabetic Neuropathies, Herpes Zoster, Neuralgia"
"NCT04618744","A Study to Assess the Safety and Efficacy of Oral Insulin in T2DM Patients With Nonalcoholic Steatohepatitis (NASH)","COMPLETED","Oramed, Ltd.","Diabetes Mellitus, Type 2, NASH - Nonalcoholic Steatohepatitis"
"NCT00484419","Effects of Colesevelam HCl, Rosiglitazone, Sitagliptin on Control of Blood Glucose and Lipids in Type 2 Diabetes Patients Whose Blood Glucose Isn't Completely Controlled With Metformin","COMPLETED","Daiichi Sankyo","Type 2 Diabetes, Hyperlipidemia"
"NCT06812767","Risk Factors at Chronic Non-communicable Diseases in People of Working Age","ENROLLING_BY_INVITATION","National Medical Research Center for Therapy and Preventive Medicine","Chronic Non-communicable Disease"
"NCT06820567","Effects Dapagliflozin on Inflammatory Markers Erythropoiesis and Iron Metabolism in Patients With Type 2 Diabetes and CKD","NOT_YET_RECRUITING","Assiut University","Chronic Kidney Diseases, Diabetes Type 2"
"NCT05050500","Effects of Dapagliflozin on Inflammatory Factorslevel and Prognosis in Type 2 Diabetes With Acute Myocardial Infarction","COMPLETED","Qingdao Central Hospital","Myocardial Infarction, Diabete Type 2, Glucose Intolerance"
"NCT02343471","The Effect of Whey Protein Consumed as a Pre-meal on Postprandial Lipemia in Healthy and Subjects With Type 2 Diabetes","COMPLETED","Aarhus University Hospital","Healthy, Type 2 Diabetes"
"NCT07122271","Joint Effects of Physical Activity and Diet Quality on Depression and Mortality in Diabetes","COMPLETED","Minghui Wang","Diabetes Complications, Depression Anxiety Disorder, Diabetes"
"NCT02877771","Tandem Predictive Low Glucose Suspend Inpatient Feasibility Study","COMPLETED","Tandem Diabetes Care, Inc.","Diabetes Mellitus, Type 1 Diabetes, Insulin Pump"
"NCT02416765","Closed-loop Control of Postprandial Glucose Levels in Adults With Type 1 Diabetes","COMPLETED","Institut de Recherches Cliniques de Montreal","Type 1 Diabetes"
"NCT02890836","Blood Pressure, Antihypertensive Treatment and Preeclampsia in Pregnant Wom-en With Pre-existing Diabetes","COMPLETED","Rigshospitalet, Denmark","Pregnancy in Diabetics"
"NCT00856011","Nerve Morphology in Diabetic Patients","COMPLETED","Skane University Hospital","Peripheral Neuropathy, Carpal Tunnel Syndrome, Entrapment Neuropathies, Diabetes Complications"
"NCT06955611","Is Community Based Monitoring of Diabetic Maculopathy and Pre-proliferative Diabetic Retinopathy Safe?","RECRUITING","Hywel Dda Health Board","Diabetes Mellitus, Diabetic Retinopathy, Diabetic Maculopathy"
"NCT03155867","Glycemic Response to Six Meal Replacements in Persons With Type 2 Diabetes Mellitus","COMPLETED","Société des Produits Nestlé (SPN)","Diabetes"
"NCT00166036","Effect of Statins on Oxidative Stress and Endothelial Progenitor Cells","COMPLETED","Emory University","Diabetes Mellitus, Metabolic Syndrome X, Hypercholesterolemia"
"NCT06794892","Comparative Outcomes of One-Anastomosis Gastric Bypass and Roux-en-Y Gastric Bypass As Revisional Procedures Following Failed Restrictive Bariatric Surgery","COMPLETED","Azienda Sanitaria Locale Napoli 2 Nord","Obesity, Morbid, Type 2 Diabetes Mellitus (T2DM), Hypertension, Dyslipidemia"
"NCT00700765","Observational Study to Evaluate Safety of Levemir® in Type 1 and Type 2 Diabetes","COMPLETED","Novo Nordisk A/S","Diabetes, Diabetes Mellitus, Type 1, Diabetes Mellitus, Type 2"
"NCT01188200","Four-Hour Evaluation of a Medical Food in Subjects With Type 2 Diabetes","COMPLETED","Abbott Nutrition","Diabetes Mellitus, Type 2"
"NCT04800471","Improving Glycemic Control in DM2 Patients in the Ambulatory Setting","COMPLETED","University of Maryland, Baltimore","Diabetes Mellitus"
"NCT03084471","An Open-Label, Multi-Centre, Study to Assess the Safety of Fixed-Dose Durvalumab + Tremelimumab Combination Therapy or Durvalumab Monotherapy in Advanced Solid Malignancies.","COMPLETED","AstraZeneca","Advanced Solid Malignancies"
"NCT07284511","A Clinical Trial Using Tirzepatide to Help Adults With Type 1 Diabetes Automatically Control Their Blood Sugar","NOT_YET_RECRUITING","Melissa-Rosina Pasqua","Type 1 Diabetes, Type 1 Diabetes Mellitus, T1D, T1DM, T1DM - Type 1 Diabetes Mellitus"
"NCT02758899","Diabetes and Glycosylation in Cervical Spondylosis","TERMINATED","Washington University School of Medicine","Diabetes, Cervical Myelopathy, Cervical Spondylosis"
